address,module,slot,module_channel,plc_tag,device_tag,description,wire,terminal,panel,sheet,status
O:1/08,5069-OB16,2,Local:2:O.Pt08.Data,LT7109,LT7109,Stack Light Red - Faulted,71091,TS1-7,EC1,071,live
O:1/09,5069-OB16,2,Local:2:O.Pt09.Data,HN7110,HN7110,Warning Horn,71101,TS1-8,EC1,071,live
O:1/10,5069-OB16,2,Local:2:O.Pt10.Data,VFD_CONV,VFD-CONV,Conveyor Drive Run Enable,72011,TS4-5,EC4,072,live
O:1/11,5069-OB16,2,Local:2:O.Pt11.Data,VFD_FOCA,VFD-FOCA,Focal Lift A Run Enable,72021,TS4-6,EC4,072,live
O:1/12,5069-OB16,2,Local:2:O.Pt12.Data,VFD_FOCB,VFD-FOCB,Focal Lift B Run Enable,72031,TS4-7,EC4,072,live
O:1/13,5069-OB16,2,Local:2:O.Pt13.Data,VFD_RECIP,VFD-RECIP,Reciprocator Run Enable,72041,TS4-8,EC4,072,live
O:1/14,5069-OB16,2,Local:2:O.Pt14.Data,CR3115,CR3115,Safety Circuit Reset Lamp,72051,TS4-9,EC4,072,live
O:1/15,5069-OB16,2,Local:2:O.Pt15.Data,,SPARE15,Spare,72061,TS1-9,EC1,072,spare
O:1/16,5069-OB16,2,,,SPARE16,Spare,72071,TS1-10,EC1,072,does not exist on module
AI:2/00,5069-IF8,3,Local:3:I.Ch00.Data,FT7300,FT7300,Conveyor Encoder Feedback,73011,TS1-11,EC1,073,live
AI:2/01,5069-IF8,3,Local:3:I.Ch01.Data,PT7301,PT7301,Focal Height Position,73021,TS4-10,EC4,073,live
AO:3/00,5069-OF4,4,Local:4:O.Ch00.Data,SC7401,SC7401,Upper Row Lamp Intensity Setpoint,74011,TS2-8,EC2,074,live
AO:3/01,5069-OF4,4,Local:4:O.Ch01.Data,SC7402,SC7402,Lower Row Lamp Intensity Setpoint,74021,TS3-8,EC3,074,live
AO:3/02,5069-OF4,4,Local:4:O.Ch02.Data,SC7403,SC7403,Conveyor Speed Reference,74031,TS4-11,EC4,074,live
AO:3/03,5069-OF4,4,Local:4:O.Ch03.Data,SC7404,SC7404,Reciprocator Speed Reference,74041,TS4-12,EC4,074,live
AI:2/02,5069-IF8,3,Local:3:I.Ch02.Data,,SPAREAI2,Spare analog input,73031,TS1-12,EC1,073,spare
AI:2/03,5069-IF8,3,Local:3:I.Ch03.Data,,SPAREAI3,Spare analog input,73041,TS1-13,EC1,073,spare
